City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,margate,51.3813,1.3862,279.76,72,80,2.92,GB,1699742885
122,novouzensk,50.4592,48.1431,277.23,87,89,3.2,RU,1699742886
123,brookings,44.3114,-96.7984,283.36,50,97,3.07,US,1699742624
124,port alfred,-33.5906,26.891,291.03,84,36,1.79,ZA,1699742886
125,inirida,3.8653,-67.9239,298.27,87,92,0.89,CO,1699742886
126,villa gesell,-37.2639,-56.973,288.39,86,5,3.94,AR,1699742886
127,puerto ayora,-0.7393,-90.3518,301.13,87,73,2.24,EC,1699742886
128,thompson,55.7435,-97.8558,274.24,80,75,3.6,CA,1699742887
129,aasiaat,68.7098,-52.8699,263.06,80,100,4.71,GL,1699742750
130,nova sintra,14.8667,-24.7167,295.96,70,58,3.79,CV,1699742887
131,port mathurin,-19.6833,63.4167,298.07,79,9,1.35,MU,1699742887
132,san luis de la loma,17.2706,-100.8939,301.89,76,15,1.67,MX,1699742887
133,potosi,-19.5836,-65.7531,288.41,32,98,3.52,BO,1699742673
134,naqadeh,36.9553,45.388,284.0,51,8,1.99,IR,1699742887
135,vryburg,-26.9566,24.7284,297.46,40,88,2.19,ZA,1699742888
136,papatowai,-46.5619,169.4708,291.22,45,100,5.73,NZ,1699742888
137,hithadhoo,-0.6,73.0833,300.39,82,59,5.05,MV,1699742888
138,puerto baquerizo moreno,-0.9,-89.6,299.7,69,40,5.66,EC,1699742888
139,longyearbyen,78.2186,15.6401,271.06,74,100,9.77,SJ,1699742888
140,badger,64.8,-147.5333,264.81,89,75,2.06,US,1699742888
141,timimoun,29.2639,0.231,292.36,34,0,1.54,DZ,1699742889
142,gokwe,-18.2048,28.9349,293.31,40,99,1.69,ZW,1699742889
143,manokwari,-0.8667,134.0833,300.49,76,100,1.02,ID,1699742781
144,biltine,14.5333,20.9167,299.51,21,56,2.85,TD,1699742889
145,avarua,-21.2078,-159.775,297.18,78,100,3.6,CK,1699742779
146,dudinka,69.4058,86.1778,265.72,96,100,4.02,RU,1699742889
147,fyodorovka,53.6314,62.7078,277.72,91,99,4.73,KZ,1699742890
148,tiksi,71.6872,128.8694,262.68,92,100,4.7,RU,1699742890
149,nizhny tagil,57.9194,59.965,274.71,99,100,1.05,RU,1699742890
150,lianran,24.9227,102.485,283.45,88,10,0.33,CN,1699742890
151,minas de marcona,-15.2119,-75.1103,288.53,86,75,6.57,PE,1699742829
152,tambacounda,13.7539,-13.7586,299.18,69,0,0.0,SN,1699742890
153,fort st. john,56.2499,-120.8529,278.09,60,75,5.66,CA,1699742891
154,bonthe,7.5264,-12.505,299.14,85,100,2.98,SL,1699742758
155,polovinnoye,54.7914,65.9864,275.47,93,98,2.92,RU,1699742891
156,arraial do cabo,-22.9661,-42.0278,296.78,88,0,10.23,BR,1699742891
157,sotouboua,8.5667,0.9833,299.45,55,21,1.38,TG,1699742891
158,rio grande,-32.035,-52.0986,297.21,92,70,3.91,BR,1699742891
159,tyukhtet,56.5389,89.3011,270.26,91,100,2.12,RU,1699742892
160,atafu village,-8.5421,-172.5159,302.19,73,44,3.57,TK,1699742738
161,enola,40.2901,-76.9339,284.33,59,100,1.79,US,1699742892
162,hamilton,39.1834,-84.5333,282.62,56,40,4.12,US,1699742648
163,rampur,28.8167,79.0333,289.97,69,0,2.79,IN,1699742892
164,nemuro,43.3236,145.575,275.69,63,2,7.4,JP,1699742736
165,puerto aysen,-45.4,-72.7,278.08,99,100,2.35,CL,1699742892
166,castillos,-34.1667,-53.8333,290.57,83,16,2.38,UY,1699742893
167,rabo de peixe,37.8,-25.5833,292.58,99,75,3.58,PT,1699742893
168,bardai,11.65,7.2333,296.0,25,30,2.92,NG,1699742893
169,el alto,-4.2714,-81.2147,296.96,77,17,7.1,PE,1699742893
170,alice springs,-23.7,133.8833,300.9,51,4,4.12,AU,1699742893
171,ocean city,39.2776,-74.5746,284.29,73,11,1.34,US,1699742894
172,mach,29.8637,67.3298,288.65,18,65,4.08,PK,1699742894
173,san benito,36.6166,-121.0844,293.06,28,64,1.94,US,1699742894
174,loushanguan,28.1375,106.82,284.12,91,99,2.13,CN,1699742894
175,al muwayh,22.4333,41.7583,294.53,32,39,4.99,SA,1699742894
176,dryden,49.7833,-92.7503,271.31,80,100,5.14,CA,1699742895
177,mejit,10.2753,170.8646,301.29,80,100,7.5,MH,1699742895
178,khunti,23.0833,85.2833,291.21,63,0,0.78,IN,1699742896
179,inarajan village,13.2736,144.7484,302.69,83,98,8.62,GU,1699742896
180,bakchar,57.0186,82.0711,274.71,98,100,3.18,RU,1699742896
181,sao vicente,-23.9631,-46.3919,310.25,26,27,1.65,BR,1699742734
182,kruisfontein,-34.0033,24.7314,287.79,76,4,6.68,ZA,1699742897
183,harper,4.375,-7.7169,298.68,88,42,2.86,LR,1699742616
184,usinsk,65.9939,57.5281,268.75,92,100,4.47,RU,1699742824
185,baise city,23.8997,106.6133,294.22,95,99,2.05,CN,1699742897
186,uturoa,-16.7333,-151.4333,300.33,81,97,4.63,PF,1699742898
187,hammerfest,70.6634,23.6821,269.4,74,20,0.51,NO,1699742898
188,syktyvkar,61.6764,50.8099,271.0,100,100,4.02,RU,1699742898
189,shimoda,34.6667,138.95,282.65,85,100,4.96,JP,1699742814
190,bethel,41.3712,-73.414,282.35,62,100,3.6,US,1699742898
191,casteljaloux,44.3176,0.0861,289.33,99,100,4.92,FR,1699742898
192,copala,16.65,-98.9833,301.73,73,2,2.52,MX,1699742899
193,sao joao da barra,-21.6403,-41.0511,299.2,89,2,7.65,BR,1699742899
194,holualoa,19.6228,-155.9522,298.06,83,100,2.06,US,1699742899
195,shalqar,47.8333,59.6,278.07,75,100,7.44,KZ,1699742899
196,fort madison,40.6298,-91.3151,283.42,49,85,2.06,US,1699742899
197,hinthada,17.6333,95.4667,297.23,87,35,2.62,MM,1699742900
198,nogliki,51.8333,143.1667,262.78,80,82,6.71,RU,1699742900
199,ust-nera,64.5667,143.2,239.59,98,73,1.58,RU,1699742900
200,vanino,49.0869,140.2543,264.22,64,69,4.94,RU,1699742900
201,pitea,65.3172,21.4794,266.2,95,98,4.14,SE,1699742900
202,labrador city,52.9463,-66.9114,267.1,86,100,5.66,CA,1699742712
203,shache,38.4167,77.2406,277.68,36,70,0.77,CN,1699742901
204,aykhal,66.0,111.5,258.1,94,79,4.6,RU,1699742747
205,santa terezinha,-29.9002,-50.0904,294.94,93,100,1.07,BR,1699742901
206,galveston,29.3669,-94.9669,289.36,90,100,2.24,US,1699742901
207,chibougamau,49.9168,-74.3659,268.94,86,100,1.54,CA,1699742901
208,callao,-12.0667,-77.15,294.31,73,20,7.72,PE,1699742901
209,sur,22.5667,59.5289,298.85,54,98,3.11,OM,1699742902
210,kendari,-3.945,122.4989,299.81,79,58,1.13,ID,1699742902
211,whitby,54.4877,-0.615,278.79,85,97,0.45,GB,1699742715
212,talnakh,69.4865,88.3972,265.49,95,100,4.36,RU,1699742902
